"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
1670998	"vormgeving"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
117153	"wedstrijd"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
561664	"boef"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1984782	"paprika"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1765076	"top"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2480083	"kinderrechten"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2232232	"killerbody"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
661373	"beerputnederland"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2437875	"hand in hand"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2461827	"stadskanaal"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
17587	"wk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
515443	"onderwijshervorming"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
849917	"the sky is the limit"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
299905	"we love alessandro"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
127379	"sneeuw"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2345711	"schorp"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1854392	"bipolair"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1845028	"alblasserdam"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
82053	"duik vaker"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1608212	"floortje"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2299141	"feyenoord"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1498115	"freelance"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1014966	"lagedrukgebied"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
891382	"hebhetnietzovoorkatten"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1939094	"marine"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
500731	"trotsopallebei"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
761605	"wedloop"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1657381	"lelystad airport"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
310254	"goedbezigboykes"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
920717	"rondjestopera"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1131766	"abnamro"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1555166	"frieschdagblad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
317560	"code rood"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
524458	"formatie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2148978	"oosterscheldekering"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1188866	"gezellig"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1022670	"eurlings"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1721802	"plantaardige"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1451052	"dtv"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
771288	"aardbeving"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1342298	"rotterdamviertdestad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
475910	"dwdd"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1589735	"slokdarm"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
326864	"utraja"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
817697	"binnenvaart"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
170488	"evajinek"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1175725	"havingfun"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
975695	"duiken"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1862965	"thunderstruck"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1043667	"samenleving"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
